seed_keyword,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01
Burnout culture,260.0,260.0,210.0,260.0,260.0,320.0,320.0,210.0,260.0,320.0,320.0,390.0,320.0,210.0,260.0,210.0,260.0,320.0,210.0,260.0,260.0,260.0,260.0,320.0
Rat race,178960.0,175750.0,202880.0,204880.0,204660.0,172350.0,172650.0,198360.0,198140.0,169820.0,226910.0,173570.0,175130.0,177520.0,206130.0,218770.0,182120.0,172160.0,176940.0,172480.0,210380.0,174180.0,227850.0,182560.0
Grind culture,1600.0,1600.0,1300.0,1300.0,1600.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1600.0,1600.0,1300.0,2400.0,2400.0,1900.0,1300.0,1300.0,1600.0,1300.0,1300.0,1600.0
Quiet quitting,1026280.0,1029950.0,852440.0,850320.0,709190.0,710390.0,700100.0,474590.0,587070.0,718010.0,608390.0,717710.0,587610.0,501640.0,499840.0,490310.0,488340.0,489430.0,407260.0,335480.0,491420.0,416040.0,415460.0,483140.0
Great Resignation,45870.0,44280.0,38040.0,35770.0,37510.0,37180.0,37290.0,26670.0,32800.0,32790.0,32110.0,37480.0,29390.0,23750.0,22180.0,20520.0,21270.0,23730.0,19110.0,16670.0,41720.0,21270.0,20030.0,19220.0
Work-life balance,2209860.0,2186320.0,2245030.0,2194970.0,2208500.0,2240920.0,2224940.0,1849200.0,2254430.0,2231800.0,2246340.0,2220160.0,2214880.0,2184250.0,2173540.0,1826160.0,2196370.0,2201090.0,2166690.0,1796840.0,2193500.0,1828810.0,2192450.0,1822720.0
Purpose-driven work,190.0,190.0,180.0,220.0,190.0,220.0,190.0,130.0,180.0,180.0,180.0,180.0,190.0,150.0,150.0,150.0,270.0,230.0,180.0,150.0,220.0,180.0,230.0,220.0
Meaningful employment,3090.0,2720.0,2660.0,2950.0,2650.0,2830.0,2430.0,2400.0,3100.0,2530.0,2860.0,2800.0,2810.0,2390.0,2700.0,2790.0,2320.0,2470.0,2650.0,2070.0,2730.0,2540.0,2640.0,2180.0
Passion economy,630.0,580.0,450.0,400.0,570.0,590.0,520.0,350.0,430.0,400.0,360.0,470.0,440.0,360.0,370.0,350.0,300.0,360.0,330.0,380.0,340.0,290.0,300.0,280.0
Self-actualization,371790.0,290810.0,239710.0,290720.0,441350.0,446800.0,386410.0,312480.0,386540.0,401320.0,363580.0,356300.0,324330.0,257430.0,253520.0,371680.0,388790.0,384970.0,334120.0,279620.0,306520.0,288170.0,339750.0,285230.0
Holistic well-being,2740.0,2190.0,2240.0,2950.0,3320.0,3290.0,3290.0,3250.0,4090.0,4080.0,3400.0,4150.0,3360.0,2800.0,2880.0,3510.0,3520.0,3400.0,3390.0,2350.0,3520.0,4100.0,4250.0,3410.0
YOLO mindset,480.0,320.0,320.0,260.0,260.0,210.0,210.0,260.0,260.0,390.0,320.0,480.0,390.0,320.0,260.0,210.0,210.0,140.0,140.0,320.0,260.0,260.0,320.0,390.0
Live in present,125150.0,118820.0,119350.0,119180.0,118240.0,119720.0,119200.0,122310.0,126010.0,113200.0,117880.0,117970.0,117660.0,112240.0,117840.0,116470.0,114330.0,104430.0,96480.0,104960.0,111300.0,92250.0,95810.0,91630.0
Anti-hustle culture,210.0,260.0,260.0,210.0,210.0,210.0,110.0,170.0,170.0,210.0,170.0,320.0,170.0,210.0,210.0,140.0,210.0,480.0,210.0,260.0,170.0,110.0,140.0,140.0
Slow living,67450.0,69260.0,81780.0,84660.0,68680.0,61510.0,60270.0,58920.0,71520.0,70310.0,71510.0,72030.0,72210.0,72360.0,76500.0,86350.0,81110.0,81900.0,77220.0,89410.0,108860.0,80170.0,80990.0,92850.0
Intentional living,26580.0,22280.0,22550.0,22360.0,24200.0,25060.0,23430.0,26750.0,30520.0,24790.0,24730.0,41680.0,26550.0,22200.0,21400.0,20170.0,22070.0,26880.0,23670.0,24680.0,32980.0,22820.0,23060.0,23170.0
Cost of living,2558560.0,2301710.0,2433390.0,2611890.0,3094370.0,2989680.0,2209460.0,2027070.0,2751250.0,2426380.0,2044380.0,2038760.0,2094400.0,2147670.0,3111100.0,2178690.0,1782440.0,2085290.0,1806320.0,1765850.0,2191040.0,2514630.0,2193790.0,2270110.0
Financial freedom,239010.0,229130.0,231440.0,221640.0,218430.0,204780.0,205890.0,211320.0,233180.0,209930.0,210690.0,195320.0,181730.0,173190.0,171250.0,184990.0,154190.0,162680.0,151980.0,160650.0,185330.0,142440.0,145810.0,148700.0
Side hustle,2200740.0,2101690.0,2136610.0,2166250.0,1870280.0,1889870.0,1807800.0,1770490.0,2173980.0,1821760.0,1759890.0,1856300.0,1839230.0,1720800.0,1751930.0,1694220.0,1419220.0,1401790.0,1437520.0,1450050.0,1842840.0,1354140.0,1609510.0,1405850.0
Gig economy,271740.0,204050.0,284020.0,235750.0,254640.0,273800.0,259960.0,274160.0,256820.0,263780.0,285570.0,242670.0,231360.0,217540.0,288790.0,250170.0,281680.0,288240.0,285370.0,226490.0,302350.0,369150.0,279610.0,272290.0
Economic anxiety,390.0,300.0,250.0,270.0,270.0,340.0,290.0,280.0,360.0,270.0,290.0,250.0,270.0,270.0,270.0,270.0,300.0,300.0,540.0,290.0,300.0,340.0,420.0,570.0
